                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
103,0.71262,0.3421,1.0269,0.94749,0.93255,0.96891,0.72572,1.0294,0.4493,1.4071,0.0050005,0.0050005,0.0050005
104,0.69403,0.33398,1.0155,0.92779,0.93585,0.97251,0.73227,1.0182,0.44277,1.422,0.004951,0.004951,0.004951
105,0.69334,0.33319,1.009,0.952,0.92747,0.97045,0.7296,1.0304,0.43634,1.4188,0.0049015,0.0049015,0.0049015
106,0.69294,0.33,1.0107,0.95385,0.92041,0.97258,0.73062,1.0181,0.43331,1.4004,0.004852,0.004852,0.004852
107,0.68256,0.32871,1.0062,0.93257,0.93897,0.96861,0.7318,1.0094,0.43829,1.4088,0.0048025,0.0048025,0.0048025
108,0.67935,0.33039,1.012,0.94825,0.9321,0.96878,0.7369,1.0124,0.44828,1.4001,0.004753,0.004753,0.004753
109,0.67937,0.32831,1.0099,0.94016,0.93255,0.96937,0.72933,1.0122,0.44011,1.412,0.0047035,0.0047035,0.0047035
110,0.68193,0.32569,1.0093,0.93991,0.933,0.97059,0.74022,1.0002,0.44129,1.3947,0.004654,0.004654,0.004654
111,0.6668,0.32419,0.99129,0.94952,0.93035,0.97148,0.73114,0.99919,0.43459,1.3981,0.0046045,0.0046045,0.0046045
112,0.65607,0.31891,0.99558,0.95811,0.91592,0.96869,0.73048,1.0135,0.44439,1.4082,0.004555,0.004555,0.004555
113,0.65816,0.32104,0.99947,0.95206,0.91975,0.972,0.7336,1.0139,0.44001,1.4098,0.0045055,0.0045055,0.0045055
114,0.64782,0.31628,0.98652,0.95422,0.92716,0.97115,0.7419,1.0018,0.43564,1.4082,0.004456,0.004456,0.004456
115,0.64383,0.31633,0.98768,0.9524,0.93574,0.96987,0.73822,0.99997,0.42684,1.4082,0.0044065,0.0044065,0.0044065
116,0.65364,0.31819,0.97962,0.94989,0.92671,0.97147,0.74216,0.99451,0.42789,1.4143,0.004357,0.004357,0.004357
117,0.64209,0.31306,0.98839,0.94864,0.93019,0.96678,0.72987,1.0064,0.44053,1.422,0.0043075,0.0043075,0.0043075
118,0.63341,0.30931,0.98083,0.95426,0.92401,0.96674,0.7362,1.0002,0.44339,1.4072,0.004258,0.004258,0.004258
119,0.63802,0.31426,0.98194,0.94598,0.93795,0.97258,0.74583,0.98537,0.42918,1.406,0.0042085,0.0042085,0.0042085
120,0.61886,0.30411,0.97548,0.93945,0.9349,0.96767,0.7375,0.99484,0.4422,1.4101,0.004159,0.004159,0.004159
121,0.62127,0.30647,0.97541,0.93328,0.9429,0.96869,0.74067,0.98358,0.43647,1.404,0.0041095,0.0041095,0.0041095
122,0.61776,0.30471,0.97947,0.95334,0.92785,0.97018,0.74644,0.98559,0.42953,1.4088,0.00406,0.00406,0.00406
123,0.61704,0.30194,0.97339,0.94211,0.93668,0.96797,0.74546,0.97892,0.4335,1.411,0.0040105,0.0040105,0.0040105
124,0.62064,0.30122,0.9752,0.93734,0.94167,0.9686,0.74456,0.97697,0.43302,1.4002,0.003961,0.003961,0.003961
125,0.61837,0.30464,0.97275,0.94028,0.93455,0.97008,0.7483,0.97698,0.43758,1.4108,0.0039115,0.0039115,0.0039115
126,0.60519,0.29929,0.96952,0.94972,0.92565,0.97208,0.74417,0.98483,0.43286,1.4192,0.003862,0.003862,0.003862
127,0.60342,0.29961,0.96498,0.95995,0.92682,0.97181,0.74961,0.98196,0.43267,1.4175,0.0038125,0.0038125,0.0038125
128,0.58813,0.29244,0.96151,0.94617,0.93705,0.9698,0.74369,0.98048,0.43476,1.4208,0.003763,0.003763,0.003763
129,0.59979,0.2956,0.9689,0.96281,0.9195,0.9693,0.74836,0.97039,0.44111,1.4097,0.0037135,0.0037135,0.0037135
130,0.59819,0.29457,0.96184,0.94557,0.92626,0.96721,0.7457,0.97317,0.44458,1.4098,0.003664,0.003664,0.003664
131,0.58972,0.29221,0.95987,0.93986,0.93975,0.97084,0.74981,0.96638,0.43893,1.4055,0.0036145,0.0036145,0.0036145
132,0.58001,0.29185,0.96202,0.94281,0.9339,0.96817,0.74741,0.96786,0.43963,1.4082,0.003565,0.003565,0.003565
133,0.58759,0.29058,0.95682,0.94693,0.93345,0.96962,0.74898,0.96445,0.43317,1.4082,0.0035155,0.0035155,0.0035155
134,0.57495,0.28873,0.95476,0.94829,0.93345,0.97048,0.75164,0.96585,0.44081,1.409,0.003466,0.003466,0.003466
135,0.57194,0.28572,0.95054,0.94601,0.93751,0.97113,0.75136,0.96492,0.4392,1.4166,0.0034165,0.0034165,0.0034165
136,0.57486,0.2881,0.95145,0.94609,0.9366,0.9696,0.74928,0.96865,0.43815,1.4278,0.003367,0.003367,0.003367
137,0.5618,0.28187,0.94664,0.95104,0.92575,0.96976,0.75131,0.96229,0.43116,1.4211,0.0033175,0.0033175,0.0033175
138,0.56228,0.28285,0.94478,0.95065,0.93345,0.96948,0.75227,0.9615,0.4347,1.4193,0.003268,0.003268,0.003268
139,0.5612,0.28011,0.94311,0.94388,0.93767,0.9651,0.74876,0.96035,0.4441,1.4179,0.0032185,0.0032185,0.0032185
140,0.54267,0.27548,0.94197,0.93914,0.93667,0.96813,0.75201,0.96207,0.44291,1.4308,0.003169,0.003169,0.003169
141,0.54844,0.27892,0.93836,0.94845,0.92646,0.96871,0.75398,0.95681,0.42679,1.4297,0.0031195,0.0031195,0.0031195
142,0.54891,0.27653,0.94058,0.93714,0.93705,0.96811,0.75134,0.95138,0.43215,1.4142,0.00307,0.00307,0.00307
143,0.54804,0.27431,0.93849,0.9472,0.93165,0.96785,0.75528,0.94966,0.43108,1.417,0.0030205,0.0030205,0.0030205
144,0.54331,0.2737,0.93382,0.95084,0.93046,0.96833,0.75742,0.9547,0.43667,1.4145,0.002971,0.002971,0.002971
145,0.53192,0.27171,0.92754,0.95504,0.92642,0.97046,0.76044,0.94358,0.43685,1.4069,0.0029215,0.0029215,0.0029215
146,0.52814,0.26836,0.92676,0.94876,0.92413,0.96598,0.75569,0.94389,0.43756,1.4147,0.002872,0.002872,0.002872
147,0.53118,0.26839,0.931,0.95374,0.92941,0.97033,0.7585,0.9487,0.43565,1.4213,0.0028225,0.0028225,0.0028225
148,0.52882,0.26562,0.92848,0.95347,0.91951,0.96763,0.75594,0.94394,0.43762,1.4155,0.002773,0.002773,0.002773
149,0.52622,0.26543,0.92961,0.94694,0.92941,0.96804,0.75683,0.94691,0.43838,1.4127,0.0027235,0.0027235,0.0027235
150,0.52497,0.26638,0.92714,0.94535,0.92761,0.96466,0.75885,0.9448,0.44458,1.4178,0.002674,0.002674,0.002674
151,0.51252,0.26244,0.92067,0.95765,0.92131,0.96521,0.75936,0.94536,0.43387,1.4284,0.0026245,0.0026245,0.0026245
152,0.51894,0.26624,0.92814,0.94781,0.9309,0.96836,0.76262,0.93957,0.43197,1.4275,0.002575,0.002575,0.002575
153,0.50992,0.26012,0.91855,0.94021,0.94043,0.96738,0.75888,0.94349,0.4289,1.4332,0.0025255,0.0025255,0.0025255
154,0.51678,0.26473,0.91936,0.95428,0.92851,0.9684,0.75449,0.94604,0.42949,1.4363,0.002476,0.002476,0.002476
155,0.49575,0.25397,0.91637,0.94928,0.93412,0.96779,0.75919,0.93723,0.42954,1.4228,0.0024265,0.0024265,0.0024265
156,0.4926,0.25344,0.91676,0.95426,0.92761,0.96668,0.76184,0.93193,0.42882,1.4221,0.002377,0.002377,0.002377
157,0.49826,0.2586,0.9218,0.95379,0.92896,0.9687,0.76286,0.93335,0.43565,1.4147,0.0023275,0.0023275,0.0023275
158,0.49333,0.25356,0.9126,0.95081,0.9357,0.96802,0.76431,0.93033,0.43545,1.4221,0.002278,0.002278,0.002278
159,0.4864,0.25284,0.90738,0.94959,0.93174,0.96935,0.76192,0.93177,0.43141,1.4272,0.0022285,0.0022285,0.0022285
160,0.49253,0.25404,0.90974,0.95768,0.92593,0.96699,0.76438,0.93101,0.43298,1.4243,0.002179,0.002179,0.002179
161,0.48159,0.25298,0.91203,0.94846,0.93508,0.96846,0.76199,0.93145,0.43775,1.4288,0.0021295,0.0021295,0.0021295
