                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                 0.4186,                0.45558,                0.14136,                0.91329,                0.90513,                0.95857,                0.59956,                0.38208,                0.46688,                0.15566,             0.00058149,             0.00058149,             0.00058149
                    147,                0.40988,                0.45118,                0.13973,                 0.9246,                 0.8877,                0.95635,                0.60046,                0.38244,                0.46713,                0.15535,             0.00057164,             0.00057164,             0.00057164
                    148,                0.41033,                0.44971,                0.13735,                0.89852,                0.92086,                0.95907,                0.60645,                 0.3793,                0.46506,                0.15332,             0.00056179,             0.00056179,             0.00056179
                    149,                0.40164,                0.44626,                0.13862,                  0.913,                0.89388,                 0.9516,                0.60269,                 0.3815,                0.46714,                0.15501,             0.00055194,             0.00055194,             0.00055194
                    150,                0.40686,                0.44947,                0.13705,                0.91568,                0.90063,                0.95875,                0.60065,                0.38267,                0.46211,                0.15499,             0.00054209,             0.00054209,             0.00054209
                    151,                0.41389,                0.44622,                0.13785,                0.91957,                0.90423,                 0.9604,                0.59971,                0.38646,                0.46218,                0.15763,             0.00053224,             0.00053224,             0.00053224
                    152,                 0.4096,                0.45105,                0.13851,                0.91124,                0.91405,                0.95751,                0.60357,                0.38053,                0.46342,                0.15443,             0.00052239,             0.00052239,             0.00052239
                    153,                0.40769,                0.44374,                 0.1361,                0.91319,                0.90813,                0.95807,                0.60087,                0.38437,                0.45992,                0.15658,             0.00051254,             0.00051254,             0.00051254
                    154,                 0.4081,                0.44533,                0.13903,                0.91666,                0.90198,                0.95655,                0.60185,                0.38201,                0.46129,                0.15521,             0.00050269,             0.00050269,             0.00050269
                    155,                0.40138,                0.44435,                0.13519,                0.92204,                0.90378,                0.95971,                0.60151,                0.38283,                0.46598,                0.15557,             0.00049284,             0.00049284,             0.00049284
                    156,                0.39781,                0.43784,                0.13443,                0.91626,                0.91502,                0.96015,                0.60831,                0.37782,                0.46323,                0.15329,             0.00048299,             0.00048299,             0.00048299
                    157,                0.40458,                0.44129,                0.13387,                 0.9172,                0.91145,                0.95795,                0.60952,                0.37502,                0.46402,                0.15185,             0.00047313,             0.00047313,             0.00047313
