                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
95,0.98297,0.47458,1.1506,1.0447,0.45859,1.167,0.91895,0.92277,0.96848,0.65599,1.1156,0.48405,1.321,1.1495,0.44323,1.3308,0.0010839,0.0010839,0.0010839
96,0.97327,0.46303,1.1391,1.0339,0.43463,1.1533,0.92192,0.91319,0.9665,0.65345,1.1192,0.48812,1.3261,1.1497,0.45623,1.3306,0.001074,0.001074,0.001074
97,0.96394,0.46868,1.1398,1.0265,0.44982,1.1585,0.92124,0.91996,0.96848,0.65383,1.1225,0.4821,1.3189,1.1486,0.44243,1.3285,0.0010642,0.0010642,0.0010642
98,0.969,0.46398,1.1331,1.0321,0.44385,1.1508,0.91453,0.92761,0.96718,0.65329,1.1126,0.48979,1.3151,1.1403,0.45482,1.3256,0.0010543,0.0010543,0.0010543
99,0.96774,0.45966,1.1381,1.0271,0.4368,1.1538,0.93793,0.90872,0.96938,0.65559,1.113,0.47658,1.3187,1.1424,0.44526,1.3279,0.0010445,0.0010445,0.0010445
100,0.94756,0.45886,1.1371,1.0054,0.4335,1.154,0.92125,0.91277,0.96684,0.65436,1.1207,0.49439,1.3222,1.1501,0.45257,1.3322,0.0010346,0.0010346,0.0010346
101,0.93304,0.44923,1.1208,0.99541,0.42754,1.1341,0.94661,0.90198,0.97015,0.65647,1.1117,0.48075,1.3187,1.146,0.43544,1.3266,0.0010248,0.0010248,0.0010248
102,0.92889,0.44313,1.1176,0.98923,0.41978,1.1315,0.92125,0.92576,0.96907,0.66064,1.1035,0.48119,1.3202,1.1318,0.44436,1.3277,0.0010149,0.0010149,0.0010149
103,0.92356,0.44283,1.1178,0.98231,0.41666,1.1306,0.92308,0.91726,0.9678,0.66285,1.0994,0.47771,1.3141,1.1259,0.44736,1.3209,0.0010051,0.0010051,0.0010051
104,0.92105,0.44075,1.1063,0.97609,0.4205,1.1217,0.90937,0.93393,0.96585,0.66498,1.0907,0.46769,1.3051,1.1238,0.43944,1.3202,0.00099522,0.00099522,0.00099522
105,0.92264,0.43852,1.1105,0.98136,0.40811,1.1255,0.93157,0.92626,0.97,0.6664,1.0957,0.45969,1.3114,1.1242,0.42415,1.3212,0.00098537,0.00098537,0.00098537
106,0.92755,0.43763,1.1139,0.98206,0.41048,1.129,0.92699,0.90917,0.96532,0.66647,1.0848,0.47074,1.3057,1.1144,0.44641,1.3154,0.00097552,0.00097552,0.00097552
107,0.89277,0.43313,1.0928,0.95846,0.4104,1.1084,0.91446,0.93738,0.96942,0.6667,1.0827,0.46607,1.3072,1.1066,0.43077,1.3067,0.00096567,0.00096567,0.00096567
108,0.91081,0.43378,1.0991,0.97374,0.40717,1.1135,0.92631,0.92123,0.96806,0.66896,1.0818,0.46695,1.3018,1.1107,0.43965,1.3057,0.00095582,0.00095582,0.00095582
109,0.90331,0.43653,1.1036,0.96322,0.40981,1.1196,0.93847,0.91894,0.96659,0.66482,1.0888,0.46469,1.31,1.1182,0.42801,1.3161,0.00094597,0.00094597,0.00094597
110,0.91937,0.43703,1.1058,0.97717,0.41177,1.1226,0.92467,0.92723,0.96901,0.66475,1.0908,0.47043,1.3122,1.1219,0.43773,1.3223,0.00093612,0.00093612,0.00093612
