                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0137,                 0.4945,                 1.1571,                 1.0729,                0.47355,                 1.1775,                0.91976,                0.89682,                0.96395,                0.64864,                 1.1418,                0.50412,                 1.3131,                 1.1663,                0.45828,                 1.3296,              0.0011233,              0.0011233,              0.0011233
                     92,                 1.0172,                0.48744,                 1.1439,                 1.0796,                0.46625,                 1.1667,                0.92273,                0.90198,                0.96399,                0.63841,                 1.1595,                0.51176,                 1.3226,                 1.1845,                 0.4664,                 1.3416,              0.0011134,              0.0011134,              0.0011134
                     93,                0.99897,                0.48094,                 1.1458,                 1.0598,                0.45955,                  1.168,                0.91711,                0.91045,                0.96501,                 0.6472,                  1.149,                  0.506,                 1.3176,                 1.1765,                0.45768,                 1.3369,              0.0011036,              0.0011036,              0.0011036
                     94,                0.98377,                0.47527,                 1.1396,                 1.0439,                0.44645,                 1.1646,                0.92042,                0.90423,                0.96373,                0.64853,                 1.1453,                0.50674,                 1.3031,                 1.1763,                0.45859,                 1.3249,              0.0010937,              0.0010937,              0.0010937
                     95,                0.99283,                0.48117,                 1.1428,                  1.055,                0.45232,                 1.1653,                0.91937,                0.90737,                0.96458,                0.65117,                 1.1355,                 0.5026,                 1.3007,                 1.1583,                0.44982,                 1.3183,              0.0010839,              0.0010839,              0.0010839
                     96,                0.97507,                0.46581,                 1.1261,                 1.0358,                0.43792,                 1.1467,                0.90729,                0.92411,                0.96553,                0.65468,                 1.1268,                0.49989,                 1.3013,                 1.1536,                0.45999,                 1.3212,               0.001074,               0.001074,               0.001074
                     97,                0.96727,                0.46987,                 1.1278,                 1.0279,                0.44593,                 1.1508,                0.91005,                0.91367,                0.96016,                0.64917,                 1.1384,                 0.5123,                 1.3055,                 1.1656,                0.46074,                 1.3222,              0.0010642,              0.0010642,              0.0010642
                     98,                0.97856,                0.47124,                 1.1263,                 1.0433,                0.44733,                 1.1463,                0.93586,                0.89227,                0.96219,                0.64834,                 1.1244,                0.49309,                 1.3025,                  1.154,                0.45848,                 1.3199,              0.0010543,              0.0010543,              0.0010543
                     99,                0.98038,                0.47039,                 1.1293,                 1.0392,                0.44001,                 1.1507,                 0.9317,                0.89552,                0.96523,                 0.6532,                 1.1287,                0.49316,                 1.2977,                  1.159,                0.45675,                 1.3184,              0.0010445,              0.0010445,              0.0010445
                    100,                0.94875,                0.46074,                 1.1224,                 1.0111,                0.43068,                 1.1488,                 0.9284,                0.91142,                0.96404,                0.65174,                 1.1167,                0.49006,                 1.2899,                 1.1481,                0.44448,                 1.3175,              0.0010346,              0.0010346,              0.0010346
                    101,                0.93907,                0.44999,                 1.1131,                 1.0007,                0.42227,                 1.1364,                0.93551,                0.88703,                0.96234,                0.65008,                 1.1276,                0.50316,                 1.3054,                 1.1551,                0.46316,                 1.3236,              0.0010248,              0.0010248,              0.0010248
                    102,                0.94235,                0.45513,                   1.11,                 1.0046,                0.42721,                 1.1329,                0.90695,                0.92851,                0.96265,                0.65348,                 1.1193,                0.49243,                 1.2941,                 1.1473,                0.46109,                 1.3065,              0.0010149,              0.0010149,              0.0010149
