                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
57,1.4338,0.76904,1.3625,1.4975,0.7942,1.3869,0.8455,0.85875,0.91786,0.54483,1.3614,0.73044,1.3726,1.4011,0.69327,1.3975,0.0014582,0.0014582,0.0014582
58,1.4254,0.7597,1.3628,1.4852,0.78479,1.392,0.835,0.84646,0.9103,0.52553,1.3998,0.73008,1.4004,1.4524,0.70158,1.4325,0.0014484,0.0014484,0.0014484
59,1.4363,0.76057,1.3613,1.4971,0.79716,1.3843,0.8405,0.86196,0.91953,0.54976,1.3501,0.69964,1.3658,1.3857,0.65414,1.3893,0.0014385,0.0014385,0.0014385
60,1.4134,0.74825,1.3519,1.4772,0.7678,1.3717,0.85618,0.82419,0.90709,0.52704,1.4034,0.73843,1.3968,1.4436,0.70246,1.4247,0.0014287,0.0014287,0.0014287
61,1.4236,0.76055,1.3542,1.4795,0.78834,1.3775,0.85284,0.85567,0.92053,0.5494,1.3305,0.69923,1.3569,1.3718,0.64051,1.3856,0.0014188,0.0014188,0.0014188
62,1.4219,0.75715,1.3545,1.4832,0.78532,1.3721,0.85983,0.83848,0.90406,0.53677,1.3776,0.71746,1.3836,1.4004,0.68878,1.3944,0.001409,0.001409,0.001409
63,1.3972,0.74215,1.3349,1.465,0.76606,1.3563,0.85704,0.85183,0.92128,0.55067,1.3481,0.70042,1.3679,1.3873,0.65139,1.3867,0.0013991,0.0013991,0.0013991
64,1.4046,0.73667,1.3381,1.4704,0.76203,1.3478,0.86469,0.84218,0.92254,0.55378,1.3369,0.69283,1.3511,1.3672,0.66094,1.3638,0.0013893,0.0013893,0.0013893
65,1.4105,0.73547,1.3297,1.4745,0.75284,1.3464,0.86579,0.85568,0.92876,0.55722,1.3359,0.68565,1.345,1.3726,0.62514,1.3761,0.0013794,0.0013794,0.0013794
66,1.3977,0.73354,1.331,1.465,0.74261,1.358,0.85543,0.87533,0.92895,0.55699,1.3379,0.67469,1.356,1.3712,0.62434,1.382,0.0013696,0.0013696,0.0013696
